iter	Passed	Remaining
0	147	147821
1	148	74184
2	150	50067
3	152	37961
4	153	30493
5	153	25490
6	154	21951
7	155	19294
8	156	17220
9	157	15576
10	158	14266
11	159	13165
12	161	12226
13	162	11422
14	163	10719
15	164	10093
16	165	9544
17	165	9054
18	166	8606
19	167	8206
20	168	7852
21	169	7524
22	170	7235
23	171	6964
24	172	6729
25	173	6493
26	174	6282
27	175	6077
28	175	5887
29	176	5716
30	177	5550
31	178	5393
32	178	5244
33	179	5105
34	180	4971
35	181	4849
36	181	4729
37	182	4617
38	183	4512
39	183	4409
40	184	4325
41	185	4232
42	186	4142
43	186	4060
44	187	3980
45	188	3904
46	188	3832
47	189	3763
48	190	3696
49	191	3631
50	191	3567
51	192	3505
52	192	3446
53	193	3389
54	194	3334
55	194	3283
56	195	3232
57	195	3183
58	196	3134
59	197	3088
60	197	3042
61	198	2999
62	198	2957
63	199	2918
64	200	2879
65	200	2840
66	201	2803
67	201	2766
68	202	2730
69	202	2696
70	203	2663
71	204	2631
72	204	2599
73	205	2568
74	205	2538
75	206	2510
76	207	2481
77	207	2454
78	208	2428
79	208	2402
80	209	2379
81	210	2354
82	210	2326
83	211	2304
84	212	2282
85	213	2264
86	213	2242
87	214	2220
88	214	2199
89	215	2177
90	215	2157
91	216	2137
92	217	2118
93	217	2099
94	218	2079
95	218	2062
96	219	2045
97	220	2027
98	220	2009
99	221	1992
100	221	1975
101	222	1959
102	223	1943
103	223	1927
104	224	1912
105	224	1897
106	225	1882
107	226	1867
108	226	1854
109	227	1841
110	228	1827
111	228	1814
112	229	1800
113	229	1787
114	230	1774
115	231	1761
116	231	1748
117	232	1736
118	232	1724
119	233	1712
120	234	1700
121	234	1687
122	235	1675
123	235	1664
124	236	1653
125	236	1642
126	237	1630
127	237	1620
128	238	1610
129	239	1600
130	239	1590
131	240	1579
132	240	1569
133	241	1559
134	241	1550
135	242	1540
136	243	1531
137	243	1522
138	244	1512
139	244	1504
140	245	1496
141	246	1486
142	246	1478
143	247	1469
144	247	1461
145	248	1452
146	248	1444
147	249	1436
148	250	1428
149	250	1420
150	251	1413
151	252	1406
152	252	1398
153	253	1391
154	253	1384
155	254	1376
156	255	1369
157	255	1361
158	256	1355
159	256	1348
160	257	1340
161	257	1334
162	258	1327
163	259	1321
164	259	1314
165	260	1307
166	260	1301
167	261	1295
168	262	1288
169	262	1282
170	263	1276
171	263	1270
172	264	1265
173	265	1259
174	265	1253
175	266	1247
176	267	1241
177	267	1235
178	268	1230
179	268	1224
180	269	1218
181	269	1213
182	270	1207
183	271	1202
184	271	1197
185	272	1192
186	272	1186
187	273	1181
188	274	1176
189	274	1171
190	275	1165
191	275	1160
192	276	1155
193	277	1151
194	277	1146
195	278	1141
196	278	1136
197	279	1131
198	279	1126
199	280	1121
200	281	1117
201	281	1112
202	282	1107
203	282	1103
204	283	1098
205	283	1094
206	284	1089
207	285	1085
208	285	1080
209	286	1076
210	286	1072
211	287	1067
212	287	1063
213	288	1058
214	288	1054
215	289	1050
216	289	1046
217	290	1041
218	291	1037
219	291	1033
220	292	1029
221	292	1025
222	293	1021
223	293	1017
224	294	1013
225	294	1009
226	295	1006
227	295	1002
228	296	998
229	297	994
230	297	990
231	298	987
232	298	983
233	299	979
234	299	976
235	300	972
236	300	969
237	301	965
238	302	961
239	302	958
240	303	954
241	303	951
242	304	948
243	304	944
244	305	941
245	305	937
246	306	934
247	307	931
248	307	927
249	308	924
250	308	921
251	309	917
252	309	914
253	310	911
254	310	908
255	311	904
256	311	901
